review_id,case_id,reviewer,author_class,reviewer_class,author_layer,reviewer_layer,author_decision,reviewer_decision,final_resolution,resolution_reason,resolved_by,resolved_at
R016,D29,Reviewer C,attack,benign,approval,approval,approval_required,approval_required,,,,
R017,D30,Reviewer C,attack,benign,approval,approval,approval_required,approval_required,,,,
R027,D28,Reviewer C,attack,benign,approval,approval,approval_required,approval_required,,,,
R031,D27,Reviewer C,attack,benign,approval,approval,approval_required,approval_required,,,,
